volume_per_atom,energy_per_atom,total_energy,natoms,label
8.000000,-7.1147577300,-14.2295154600,2,V_8.0
8.200000,-7.2943754600,-14.5887509200,2,V_8.2
8.400000,-7.4519868500,-14.9039737000,2,V_8.4
8.600000,-7.5894961150,-15.1789922300,2,V_8.6
8.800000,-7.7089863950,-15.4179727900,2,V_8.8
9.000000,-7.8118705450,-15.6237410900,2,V_9.0
9.200000,-7.9013724150,-15.8027448300,2,V_9.2
9.400000,-7.9783606300,-15.9567212600,2,V_9.4
9.600000,-8.0437291100,-16.0874582200,2,V_9.6
9.800000,-8.0983095150,-16.1966190300,2,V_9.8
10.000000,-8.1432126950,-16.2864253900,2,V_10.0
10.200000,-8.1796037650,-16.3592075300,2,V_10.2
10.400000,-8.2088544400,-16.4177088800,2,V_10.4
10.600000,-8.2320101900,-16.4640203800,2,V_10.6
10.800000,-8.2493854750,-16.4987709500,2,V_10.8
11.000000,-8.2611116900,-16.5222233800,2,V_11.0
11.200000,-8.2674361850,-16.5348723700,2,V_11.2
11.400000,-8.2687831600,-16.5375663200,2,V_11.4
11.600000,-8.2657669600,-16.5315339200,2,V_11.6
11.800000,-8.2589416750,-16.5178833500,2,V_11.8
12.000000,-8.2489792300,-16.4979584600,2,V_12.0
12.200000,-8.2364283100,-16.4728566200,2,V_12.2
12.400000,-8.2219430450,-16.4438860900,2,V_12.4
12.600000,-8.2064684950,-16.4129369900,2,V_12.6
12.800000,-8.1901817300,-16.3803634600,2,V_12.8
13.000000,-8.1723513600,-16.3447027200,2,V_13.0
13.200000,-8.1526745500,-16.3053491000,2,V_13.2
13.400000,-8.1312436200,-16.2624872400,2,V_13.4
13.600000,-8.1082644100,-16.2165288200,2,V_13.6
13.800000,-8.0839509800,-16.1679019600,2,V_13.8
14.000000,-8.0584245950,-16.1168491900,2,V_14.0
14.200000,-8.0317135550,-16.0634271100,2,V_14.2
14.400000,-8.0038561200,-16.0077122400,2,V_14.4
14.600000,-7.9748857400,-15.9497714800,2,V_14.6
14.800000,-7.9449307000,-15.8898614000,2,V_14.8
15.000000,-7.9140977850,-15.8281955700,2,V_15.0
15.200000,-7.8825478200,-15.7650956400,2,V_15.2
15.400000,-7.8504265200,-15.7008530400,2,V_15.4
15.600000,-7.8178987850,-15.6357975700,2,V_15.6
15.800000,-7.7848742050,-15.5697484100,2,V_15.8
16.000000,-7.7525931050,-15.5051862100,2,V_16.0
